 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *                                                                      *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)...............  0
 No. of observations.................(NOBb).............1529


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.084
 Saturated moisture content..........(WCS)............     0.338
 First coefficient...................(ALPHA)..........     0.124
 Second coefficient..................(N)..............     1.850
 Saturated conductivity..............(CONDS).......... .6013E+02
 Pore connectivity factor............(L)..............     0.500


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
   509   1229.000      0.132       2     1      1.000000
   510   1230.000      0.132       2     1      1.000000
   511   1231.000      0.132       2     1      1.000000
   512   1232.000      0.131       2     1      1.000000
   513   1233.000      0.131       2     1      1.000000
   514   1234.000      0.212       2     1      1.000000
   515   1235.000      0.238       2     1      1.000000
   516   1236.000      0.230       2     1      1.000000
   517   1237.000      0.224       2     1      1.000000
   518   1238.000      0.219       2     1      1.000000
   519   1239.000      0.213       2     1      1.000000
   520   1240.000      0.204       2     1      1.000000
   521   1241.000      0.194       2     1      1.000000
   522   1242.000      0.186       2     1      1.000000
   523   1243.000      0.178       2     1      1.000000
   524   1244.000      0.173       2     1      1.000000
   525   1245.000      0.170       2     1      1.000000
   526   1246.000      0.169       2     1      1.000000
   527   1247.000      0.169       2     1      1.000000
   528   1248.000      0.168       2     1      1.000000
   529   1249.000      0.168       2     1      1.000000
   530   1250.000      0.167       2     1      1.000000
   531   1251.000      0.166       2     1      1.000000
   532   1252.000      0.166       2     1      1.000000
   533   1253.000      0.165       2     1      1.000000
   534   1254.000      0.165       2     1      1.000000
   535   1255.000      0.165       2     1      1.000000
   536   1256.000      0.164       2     1      1.000000
   537   1257.000      0.163       2     1      1.000000
   538   1258.000      0.199       2     1      1.000000
   539   1259.000      0.238       2     1      1.000000
   540   1260.000      0.225       2     1      1.000000
   541   1261.000      0.218       2     1      1.000000
   542   1262.000      0.211       2     1      1.000000
   543   1263.000      0.204       2     1      1.000000
   544   1264.000      0.195       2     1      1.000000
   545   1265.000      0.183       2     1      1.000000
   546   1266.000      0.175       2     1      1.000000
   547   1267.000      0.170       2     1      1.000000
   548   1268.000      0.167       2     1      1.000000
   549   1269.000      0.165       2     1      1.000000
   550   1270.000      0.164       2     1      1.000000
   551   1271.000      0.163       2     1      1.000000
   552   1272.000      0.162       2     1      1.000000
   553   1273.000      0.161       2     1      1.000000
   554   1274.000      0.161       2     1      1.000000
   555   1275.000      0.160       2     1      1.000000
   556   1276.000      0.159       2     1      1.000000
   557   1277.000      0.158       2     1      1.000000
   558   1278.000      0.158       2     1      1.000000
   559   1279.000      0.158       2     1      1.000000
   560   1280.000      0.157       2     1      1.000000
   561   1281.000      0.157       2     1      1.000000
   562   1282.000      0.155       2     1      1.000000
   563   1283.000      0.163       2     1      1.000000
   564   1284.000      0.184       2     1      1.000000
   565   1285.000      0.178       2     1      1.000000
   566   1286.000      0.170       2     1      1.000000
   567   1287.000      0.162       2     1      1.000000
   568   1288.000      0.153       2     1      1.000000
   569   1289.000      0.145       2     1      1.000000
   570   1290.000      0.137       2     1      1.000000
   571   1291.000      0.131       2     1      1.000000
   572   1292.000      0.128       2     1      1.000000
   573   1293.000      0.125       2     1      1.000000
   574   1294.000      0.124       2     1      1.000000
   575   1295.000      0.122       2     1      1.000000
   576   1296.000      0.121       2     1      1.000000
   577   1297.000      0.120       2     1      1.000000
   578   1298.000      0.120       2     1      1.000000
   579   1299.000      0.119       2     1      1.000000
   580   1300.000      0.119       2     1      1.000000
   581   1301.000      0.118       2     1      1.000000
   582   1302.000      0.117       2     1      1.000000
   583   1303.000      0.117       2     1      1.000000
   584   1304.000      0.117       2     1      1.000000
   585   1305.000      0.119       2     1      1.000000
   586   1306.000      0.119       2     1      1.000000
   587   1307.000      0.119       2     1      1.000000
   588   1308.000      0.120       2     1      1.000000
   589   1309.000      0.119       2     1      1.000000
   590   1310.000      0.121       2     1      1.000000
   591   1311.000      0.124       2     1      1.000000
