 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16.10.2025    Time:  10:45:53
 Units: L = cm   , T = hours, M = mmol 



                               Node( 31)

         time            h        theta    Temp  
        632.0000      -39.68  0.1515   20.000
        633.0000      -40.49  0.1506   20.000
        634.0000      -41.34  0.1496   20.000
        635.0000      -42.25  0.1486   20.000
        636.0000      -43.21  0.1475   20.000
        637.0000      -44.20  0.1463   20.000
        638.0000      -45.23  0.1452   20.000
        639.0000      -46.18  0.1441   20.000
        640.0000      -47.02  0.1431   20.000
        641.0000      -47.81  0.1423   20.000
        642.0000      -48.58  0.1417   20.000
        643.0000      -49.27  0.1412   20.000
        644.0000      -49.92  0.1407   20.000
        645.0000      -50.51  0.1402   20.000
        646.0000      -51.07  0.1398   20.000
        647.0000      -51.59  0.1394   20.000
        648.0000      -52.10  0.1390   20.000
        649.0000      -52.58  0.1386   20.000
        650.0000      -53.04  0.1383   20.000
        651.0000      -53.49  0.1380   20.000
        652.0000      -53.91  0.1376   20.000
        653.0000      -54.33  0.1373   20.000
        654.0000      -54.74  0.1370   20.000
        655.0000      -55.15  0.1367   20.000
        656.0000      -55.56  0.1364   20.000
        657.0000      -56.01  0.1360   20.000
        658.0000      -56.52  0.1356   20.000
        659.0000      -57.12  0.1352   20.000
        660.0000      -57.80  0.1347   20.000
        661.0000      -58.58  0.1341   20.000
        662.0000      -59.44  0.1334   20.000
        663.0000      -60.42  0.1328   20.000
        664.0000      -61.39  0.1323   20.000
        665.0000      -62.33  0.1318   20.000
        666.0000      -63.25  0.1313   20.000
        667.0000      -28.58  0.1703   20.000
        668.0000      -27.55  0.1729   20.000
        669.0000      -28.83  0.1697   20.000
        670.0000      -30.06  0.1668   20.000
        671.0000      -31.33  0.1647   20.000
        672.0000      -32.50  0.1627   20.000
        673.0000      -33.61  0.1608   20.000
        674.0000      -34.66  0.1590   20.000
        675.0000      -35.66  0.1573   20.000
        676.0000      -36.58  0.1557   20.000
        677.0000      -37.42  0.1542   20.000
        678.0000      -38.23  0.1532   20.000
